City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
34,mount pearl,47.5166,-52.7813,289.67,80,20,5.14,CA,1696098286
35,port mathurin,-19.6833,63.4167,296.24,79,37,11.14,MU,1696098286
36,micheweni,-4.9667,39.8333,298.41,80,8,5.51,TZ,1696098286
37,hermanus,-34.4187,19.2345,287.13,69,8,2.24,ZA,1696098230
38,el granada,37.5027,-122.4694,291.38,86,75,6.69,US,1696098286
39,puerto natales,-51.7236,-72.4875,289.4,36,100,9.77,CL,1696098287
40,hammerfest,70.6634,23.6821,280.4,93,100,3.09,NO,1696098287
41,whitehorse,60.7161,-135.0538,277.49,100,75,2.57,CA,1696098287
42,misratah,32.3754,15.0925,297.85,64,1,6.26,LY,1696098287
43,rockland,41.1668,-74.0496,291.18,89,100,2.51,US,1696098287
44,filingue,14.3521,3.3168,309.86,28,70,5.12,NE,1696098287
45,papatowai,-46.5619,169.4708,280.87,66,97,5.15,NZ,1696098287
46,yellowknife,62.456,-114.3525,280.44,49,75,2.57,CA,1696098288
47,carbonear,47.7332,-53.2148,290.38,79,12,2.18,CA,1696098288
48,olonkinbyen,70.9221,-8.7187,274.28,71,99,5.08,SJ,1696098288
49,kalispell,48.1958,-114.3129,285.46,64,75,7.72,US,1696098288
50,kodiak,57.79,-152.4072,281.88,93,100,9.77,US,1696098288
51,afaahiti,-17.75,-149.2833,299.08,85,41,7.54,PF,1696098288
52,mejit,10.2753,170.8646,299.7,86,100,8.91,MH,1696098288
53,anadyr,64.75,177.4833,271.43,79,20,6.0,RU,1696098031
54,mitu,1.1983,-70.1733,304.97,62,93,0.68,CO,1696098289
55,albany,42.6001,-73.9662,290.87,91,99,0.89,US,1696098289
56,saipan,15.1355,145.701,299.54,89,75,3.6,MP,1696098289
57,vilyuysk,63.7553,121.6247,279.82,83,100,3.58,RU,1696098289
58,olinda,-8.0089,-34.8553,302.0,61,40,6.69,BR,1696098289
59,egilsstadir,65.2653,-14.3948,279.1,87,100,2.57,IS,1696098289
60,jamestown,42.097,-79.2353,297.05,70,100,1.54,US,1696098289
61,port elizabeth,-33.918,25.5701,287.31,78,0,9.26,ZA,1696098039
62,west island,-12.1568,96.8225,298.14,83,75,8.23,CC,1696098290
63,celestun,20.8667,-90.4,304.06,65,100,3.71,MX,1696098290
64,yallahs,17.8748,-76.5624,308.6,64,4,4.49,JM,1696098290
65,vanimo,-2.6741,141.3028,298.65,91,64,2.68,PG,1696098290
66,margate,51.3813,1.3862,290.32,77,77,1.79,GB,1696098290
67,iqaluit,63.7506,-68.5145,275.0,100,100,9.77,CA,1696098290
68,touros,-5.1989,-35.4608,301.86,58,53,8.69,BR,1696098291
69,kapa'a,22.0752,-159.319,300.14,86,75,6.17,US,1696098291
70,le vauclin,14.5452,-60.8388,302.18,89,75,2.06,MQ,1696098291
71,sitka,57.0531,-135.33,283.09,81,100,3.6,US,1696098291
72,ust-nera,64.5667,143.2,269.24,66,25,2.64,RU,1696098291
73,dabou,5.3256,-4.3769,298.83,87,71,3.67,CI,1696098291
74,kangding,30.0513,101.9603,286.84,95,94,1.16,CN,1696098292
75,ribeira grande,38.5167,-28.7,296.37,64,20,4.47,PT,1696098292
76,amga,60.8953,131.9608,270.92,67,75,0.45,RU,1696098292
77,newnham,-41.3833,147.1333,286.68,71,100,4.63,AU,1696098292
78,college,64.8569,-147.8028,276.93,76,40,4.12,US,1696098292
79,kuusamo,65.9667,29.1833,284.17,100,20,0.51,FI,1696098292
80,kloulklubed,7.0419,134.2556,301.38,80,94,6.42,PW,1696098292
81,yeniseysk,58.4497,92.1703,275.9,97,100,4.92,RU,1696098293
82,contamana,-7.3333,-75.0167,307.72,40,100,1.26,PE,1696098293
83,cabedelo,-6.9811,-34.8339,302.52,68,46,7.67,BR,1696098293
84,tolanaro,-25.0319,46.9987,297.19,78,0,7.2,MG,1696098293
85,gwadar,25.1216,62.3254,301.05,54,0,1.94,PK,1696098293
86,enewetak,11.3474,162.3373,301.68,79,95,5.12,MH,1696098293
87,ilulissat,69.2167,-51.1,274.16,64,75,1.54,GL,1696098293
88,bilibino,68.0546,166.4372,266.46,97,100,1.72,RU,1696098293
89,tarinkot,32.6268,65.8733,289.76,21,0,1.22,AF,1696098294
90,chonchi,-42.6128,-73.8092,290.71,57,100,0.7,CL,1696098294
91,ishigaki,24.3448,124.1572,300.22,100,40,4.63,JP,1696098294
92,bikenibeu village,1.3673,173.1241,300.13,89,75,0.0,KI,1696098294
93,olyokminsk,60.3736,120.4264,279.18,68,100,1.84,RU,1696098294
94,edinburgh of the seven seas,-37.0676,-12.3116,283.08,88,96,19.64,SH,1696098294
95,susanville,40.4163,-120.653,284.06,78,100,1.54,US,1696098295
96,galesong,-5.3166,119.3661,296.16,64,33,2.94,ID,1696098295
97,kokpekty,48.75,82.4,284.53,76,99,3.09,KZ,1696098295
98,dhidhdhoo,6.8833,73.1,300.75,77,98,7.41,MV,1696098295
99,ola,59.5833,151.2833,280.05,71,100,2.87,RU,1696098295
100,vila velha,-20.3297,-40.2925,295.12,84,100,2.06,BR,1696098295
101,kuraymah,18.55,31.85,311.67,10,30,4.36,SD,1696098296
102,galliano,29.4422,-90.2992,305.15,58,40,5.66,US,1696098296
103,blackmans bay,-43.0167,147.3167,286.33,68,100,3.38,AU,1696098296
104,ust-tsilma,65.441,52.1498,285.18,90,100,4.05,RU,1696098066
105,tarawa,1.419,172.984,300.2,89,75,0.0,KI,1696098296
106,hithadhoo,-0.6,73.0833,300.38,80,81,6.32,MV,1696098296
107,sao felix do xingu,-6.6447,-51.995,313.43,19,31,0.27,BR,1696098296
108,dikhil,11.5,42.1667,303.87,46,35,2.66,DJ,1696098296
109,san antonio de pale,-1.4014,5.6325,298.26,85,94,7.4,GQ,1696098297
110,cobija,-11.0267,-68.7692,306.25,62,20,1.03,BO,1696098297
